ticker,company_name,exchange,country,category,group,quantum_relevance_score,market_quality_score,data_completeness_score,inclusion_score,inclusion_reason,listing_date,investor_relations_url,sec_cik,selected_default,watchlist_only,notes
IONQ,IonQ Inc,NYSE,United States,Pure-play quantum computing,Specialist,5,5,5,15,"Direct trapped-ion quantum computing platform with public market liquidity and full 24-month data.",2021-10-01,https://investors.ionq.com,,true,false,"Pure-play name. Also active in quantum networking, sensing and security."
QNT,Quantinuum Inc,Nasdaq,United States,Pure-play quantum computing,Specialist,5,4,1,10,"Major full-stack quantum computing company. Included despite partial trading history because it is a direct quantum exposure.",2026-06-04,https://www.quantinuum.com,2059703,true,false,"Partial trading history only. Listed during the review window."
QBTS,D-Wave Quantum Inc,NYSE,Canada/United States,Pure-play quantum computing,Specialist,5,4,5,14,"Direct quantum computing company with annealing and gate-model roadmap exposure.",2022-08-08,https://ir.dwavequantum.com,,true,false,"Pure-play quantum name. Annealing business model differs from gate-model peers."
RGTI,Rigetti Computing Inc,Nasdaq,United States,Quantum hardware,Specialist,5,4,5,14,"Direct superconducting quantum hardware and cloud access company.",2022-03-02,https://investors.rigetti.com,,true,false,"Pure-play quantum hardware. Small-cap risk and revenue maturity need to be explicit."
QUBT,Quantum Computing Inc,Nasdaq,United States,Quantum hardware,Specialist,4,3,5,12,"Quantum photonics and integrated photonics company with direct quantum market exposure.",2018-07-18,https://quantumcomputinginc.com/investor-relations,,true,false,"Direct exposure, but classification should avoid assuming all products are mature quantum computers."
IQMX,IQM Quantum Computers Oyj,Nasdaq/Helsinki,Finland,Quantum hardware,Specialist,5,4,1,10,"Full-stack superconducting quantum computer provider. Included despite very short public history.",2026-07-02,https://www.meetiqm.com,,true,false,"Partial trading history only. Listed during the review window."
ARQQ,Arqit Quantum Inc,Nasdaq,United Kingdom,Quantum cybersecurity or post-quantum security,Specialist/Adjacent,3,3,5,11,"Quantum-safe cybersecurity exposure. Included as quantum-adjacent rather than quantum computing hardware/software.",2021-09-03,https://ir.arqit.uk,,true,false,"Do not treat as quantum computing hardware."
IBM,International Business Machines Corp,NYSE,United States,Diversified technology company with quantum exposure,Diversified,3,5,5,13,"Large-cap technology company with a long-running IBM Quantum program. Share price is not primarily driven by quantum.",1915-11-11,https://www.ibm.com/investor,,true,false,"Diversified exposure. Quantum is strategically important but probably not dominant in near-term share price movement."
GOOGL,Alphabet Inc,Nasdaq,United States,Diversified technology company with quantum exposure,Diversified,3,5,5,13,"Large-cap technology company with Google Quantum AI and Willow milestone exposure. Share price is not primarily driven by quantum.",2004-08-19,https://abc.xyz/investor,,true,false,"Diversified exposure. Quantum signals may be immaterial to total equity value."
MSFT,Microsoft Corporation,Nasdaq,United States,Diversified technology company with quantum exposure,Diversified,3,5,5,13,"Large-cap technology company with Azure Quantum and Majorana program exposure. Share price is not primarily driven by quantum.",1986-03-13,https://www.microsoft.com/en-us/investor,,true,false,"Diversified exposure. Quantum signals may be immaterial to total equity value."
NVDA,NVIDIA Corporation,Nasdaq,United States,Quantum-adjacent infrastructure,Diversified/Infrastructure,2,5,5,12,"Quantum-adjacent infrastructure and CUDA-Q ecosystem exposure. Included as optional benchmark, not a pure quantum company.",1999-01-22,https://investor.nvidia.com,,false,true,"Optional benchmark. AI and accelerated computing dominate stock behaviour."
AMZN,Amazon.com Inc,Nasdaq,United States,Quantum cloud platform,Diversified,2,5,5,12,"AWS Braket gives cloud quantum access, but quantum exposure is small relative to AWS and retail/cloud scale.",1997-05-15,https://ir.aboutamazon.com,,false,true,"Optional diversified exposure. Not selected in the base top 10."
QTUM,Defiance Quantum ETF,Nasdaq,United States,ETF benchmark,Benchmark,3,4,5,12,"Thematic quantum and machine learning ETF used as a benchmark where data is available.",2018-09-05,https://www.defianceetfs.com/qtum/, ,false,true,"Benchmark only. Not an operating company."
^IXIC,Nasdaq Composite,Nasdaq,United States,Market benchmark,Benchmark,1,5,5,11,"Broad growth and technology benchmark.",1971-02-05,https://www.nasdaq.com, ,false,true,"Benchmark only."
^GSPC,S&P 500,NYSE/Nasdaq,United States,Market benchmark,Benchmark,1,5,5,11,"Broad U.S. equity benchmark.",1957-03-04,https://www.spglobal.com/spdji, ,false,true,"Benchmark only."
